movie_id,director_id,producer_id,box_office_value,cast_id_0,cast_id_1,cast_id_2,cast_id_3,cast_id_4
Q1028499,Q23930786,Q1382548,,Q441334,Q343037,Q309589,Q232879,Q16455
Q1029272,Q22104086,Q15873263,,,,,,
Q1028631,Q470104,,,Q311179,Q232621,Q707229,Q701984,Q860948
Q1029212,Q40035,Q3299581,,Q483907,Q95026,Q188955,Q16221878,Q6306102
Q1029155,Q993643,Q106383,,Q106383,Q106508,Q334506,Q443085,Q522948
Q10294054,Q7184234,,,Q3340882,Q233433,Q6128326,Q16233699,
Q1029692,Q53039,Q1382548,,Q106791,Q191132,Q435677,Q2816288,Q1442523
Q1029606,Q51564,Q51564,,Q76711,Q105221,Q205435,Q241510,Q192217
Q1029321,Q216748,Q3336296,,Q1502051,Q2474042,Q2403264,Q3184059,Q6515061
Q1029789,Q323716,,,Q233128,Q448300,Q233240,Q76861,
Q10296231,Q2061052,Q573499,,Q6153419,Q5240793,Q6264006,Q4355121,
Q10297763,Q3021400,Q1526143,,Q1281212,Q982177,Q924567,Q201732,Q7188541
Q10298018,Q5610461,Q5610461,,Q5811787,,,,
Q10294111,Q3021400,Q1526143,,Q1281212,Q11832727,Q45561,Q3806479,Q2748114
Q1029529,Q8215122,Q6847753,,Q1738023,Q268298,Q514947,Q258071,Q366195
Q1029546,Q3141551,Q187364,,Q20178,Q229042,Q1687792,Q223117,Q362500
Q1029510,Q11425252,Q11538903,,Q3269427,Q11401278,Q11529636,Q11621370,Q2537530
Q1029548,Q3482121,Q357608,,Q9535,Q1018699,Q17198387,Q2917376,Q4739795
Q10295038,Q1442364,Q1442364,,,,,,
Q1029722,Q1680660,Q4772461,,Q82786,Q73930,Q268271,Q350255,Q343564
Q1029748,Q6155953,Q12333734,,,,,,
Q10301844,Q3568727,,,Q5075789,Q3157279,Q3013783,,
Q10298591,Q3371503,Q703759,,,,,,
Q1029308,Q12612445,,,Q6513100,Q402179,Q12589678,Q6408887,Q12596879
Q10298664,Q3371503,Q703759,,,,,,
Q10302218,Q556343,,,Q104027,Q107656,Q1150547,Q1254992,Q1378361
Q10301494,Q5603,Q5603,,Q7143298,Q915955,Q44634,Q328633,
Q1030259,Q20604905,,,Q3082687,Q448729,,,
Q10304909,Q2857760,,,,,,,
Q10299282,Q1526143,Q1526143,,Q1281212,Q982177,Q924567,Q6778800,Q7922109
Q10305518,Q3325322,,,Q1085473,Q3043193,Q7500141,Q1315977,Q11055076
Q1030261,Q289512,,,Q537809,Q511833,Q3141565,Q523442,Q2965972
