,Ethnicity,Wikidata URI
/m/0h3w182,Yugoslavs in Serbia,http://www.wikidata.org/entity/Q8060433
/m/06vb7b,Iranian Canadians,http://www.wikidata.org/entity/Q10859771
/m/026cylh,Montenegrins of Serbia,http://www.wikidata.org/entity/Q11239222
/m/043lmdj,Qaraei,http://www.wikidata.org/entity/Q11507264
/m/05b4ff_,Mein tribe,http://www.wikidata.org/entity/Q11936371
/m/04jpmrt,Goan Catholics,http://www.wikidata.org/entity/Q1533409
/m/083_mj,Gola people,http://www.wikidata.org/entity/Q1534501
/m/0399f2,Kru people,http://www.wikidata.org/entity/Q1537493
/m/033fjj,Ho-Chunk,http://www.wikidata.org/entity/Q1537653
/m/06zr0l1,Boya people,http://www.wikidata.org/entity/Q167624
/m/045t7r,Somena,http://www.wikidata.org/entity/Q7559654
/m/03chzvz,South Africans in the United Kingdom,http://www.wikidata.org/entity/Q7565916
/m/04dz737,Spanish Chilean,http://www.wikidata.org/entity/Q7573173
/m/080jwvp,Squiala First Nation,http://www.wikidata.org/entity/Q7582237
/m/0btz8z,Sri Lankan Chetty,http://www.wikidata.org/entity/Q7586025
/m/0h1gb1n,Sri Lankans in Singapore,http://www.wikidata.org/entity/Q7586139
/m/0bryj0b,Taishanese people,http://www.wikidata.org/entity/Q7676411
/m/0463tt2,Taiwanese Australian,http://www.wikidata.org/entity/Q7676598
/m/0hr0kd7,Tamil Indonesians,http://www.wikidata.org/entity/Q7681259
/m/03d1q1p,Tamil South Africans,http://www.wikidata.org/entity/Q7681393
/m/0b8y84,Tarok people,http://www.wikidata.org/entity/Q7686522
/m/0fw6r_,Tawakoni,http://www.wikidata.org/entity/Q7689203
/m/09k5gdn,Te-Moak Tribe of Western Shoshone Indians of Nevada,http://www.wikidata.org/entity/Q7690712
/m/0kbj87t,Thadou,http://www.wikidata.org/entity/Q7709041
/m/02q6qv8,Thai Australian,http://www.wikidata.org/entity/Q7709099
/m/09rsqy1,Thai Canadians,http://www.wikidata.org/entity/Q7709108
/m/0d26dw,Tima people,http://www.wikidata.org/entity/Q7804554
/m/02w_zbw,Trinidadian and Tobagonian American,http://www.wikidata.org/entity/Q7842496
/m/08xbs_,Trinidadian and Tobagonian Canadians,http://www.wikidata.org/entity/Q7842499
/m/06zk5k7,Tule River Indian Tribe of the Tule River Reservation,http://www.wikidata.org/entity/Q7851995
/m/0bh8mcw,Turk Jamat,http://www.wikidata.org/entity/Q7855004
/m/03d65gp,Turks in Azerbaijan,http://www.wikidata.org/entity/Q7855499
/m/04qb0m2,Turks in Norway,http://www.wikidata.org/entity/Q7855522
/m/06w67jq,Turks in Poland,http://www.wikidata.org/entity/Q7855524
/m/080c_xh,Turks in Uzbekistan,http://www.wikidata.org/entity/Q7855534
/m/0bwh082,Twentynine Palms Reservation,http://www.wikidata.org/entity/Q7857729
/m/0nb81lr,Ukrainian Venezuelans,http://www.wikidata.org/entity/Q7878524
/m/025_ldd,Unpuncliegut,http://www.wikidata.org/entity/Q7897320
/m/07_061,Wiyot people,http://www.wikidata.org/entity/Q2329815
/m/0150pp,Vestini,http://www.wikidata.org/entity/Q2341546
/m/0hnbzk1,Tetela people,http://www.wikidata.org/entity/Q2351967
/m/03y0k8p,Ho people,http://www.wikidata.org/entity/Q2392686
/m/0gf2ws,Datooga people,http://www.wikidata.org/entity/Q2395650
/m/047bj60,Poqomchi' people,http://www.wikidata.org/entity/Q2442920
/m/0b3_ld,Klickitat,http://www.wikidata.org/entity/Q2450853
/m/0fqq371,Mastia,http://www.wikidata.org/entity/Q2506350
/m/0261rx_,Bora people,http://www.wikidata.org/entity/Q2520137
/m/02phxhf,Trumai people,http://www.wikidata.org/entity/Q2522647
/m/0260fg7,Amahuaca,http://www.wikidata.org/entity/Q2528564
/m/09743,Pashtuns,http://www.wikidata.org/entity/Q2556103
/m/029f2r,Sindhis,http://www.wikidata.org/entity/Q1258074
/m/04qqyl,Morlachs,http://www.wikidata.org/entity/Q1259773
/m/08lths,Warao,http://www.wikidata.org/entity/Q1261048
/m/03862b,Hehe people,http://www.wikidata.org/entity/Q1261861
/m/04gfy7,Indian Americans,http://www.wikidata.org/entity/Q2643509
/m/08cq3z,Bhati,http://www.wikidata.org/entity/Q2673588
/m/02q51ny,Aragonese people,http://www.wikidata.org/entity/Q2706746
/m/02q92r,Alutiiq people,http://www.wikidata.org/entity/Q2745405
/m/01172_g5,Ukrainian Argentine,http://www.wikidata.org/entity/Q1976275
/m/04zgd8,Njem people,http://www.wikidata.org/entity/Q1994271
/m/0bpp79,Rahaweyn,http://www.wikidata.org/entity/Q2005663
/m/0cj9rj,Balanda Boor people,http://www.wikidata.org/entity/Q2210728
/m/08v2k7,Italian Australian,http://www.wikidata.org/entity/Q2257191
/m/0j9p51t,Suruí do Pará,http://www.wikidata.org/entity/Q2260615
/m/0jt563m,Iyengar,http://www.wikidata.org/entity/Q2288761
/m/03h3j4f,Wayana people,http://www.wikidata.org/entity/Q2299931
/m/0btrm4,Armenian American,http://www.wikidata.org/entity/Q2325516
/m/0dsd73,Alyutors,http://www.wikidata.org/entity/Q2679509
/m/064089y,Barga Mongols,http://www.wikidata.org/entity/Q2721972
/m/05bv7r,Zaparo people,http://www.wikidata.org/entity/Q2723612
/m/0dz98v,Urarina,http://www.wikidata.org/entity/Q2726954
/m/06w6t4s,Speakers of Gan Chinese,http://www.wikidata.org/entity/Q2756345
/m/03gy1h2,Panamanian American,http://www.wikidata.org/entity/Q7129967
/m/0br_0c_,Panar,http://www.wikidata.org/entity/Q7130047
/m/085bwq,Pangal,http://www.wikidata.org/entity/Q7130900
/m/0j651mw,Paraguayans in Italy,http://www.wikidata.org/entity/Q7134734
/m/0bmddxq,Patni Jamat,http://www.wikidata.org/entity/Q7145129
/m/0drwk4z,Pattariyar,http://www.wikidata.org/entity/Q7148330
/m/0134q2m9,Gagauz people in Ukraine,http://www.wikidata.org/entity/Q12093773
/m/0gc_my,Makwe people,http://www.wikidata.org/entity/Q3541598
/m/0444b6,Wonnarua,http://www.wikidata.org/entity/Q3569807
/m/0b972l,Cholanaikkan,http://www.wikidata.org/entity/Q3595583
/m/06vp8d,Pashayi people,http://www.wikidata.org/entity/Q3595760
/m/07s5gzn,Krobyzoi,http://www.wikidata.org/entity/Q3656050
/m/0wxtmd6,Carijona,http://www.wikidata.org/entity/Q3658660
/m/05b35m4,Italian colonists in Albania,http://www.wikidata.org/entity/Q3683456
/m/09rxbbr,Harakmbut people,http://www.wikidata.org/entity/Q3696210
/m/09c0n0,Sambal people,http://www.wikidata.org/entity/Q3707415
/m/0bmg_b_,Kreevins,http://www.wikidata.org/entity/Q3735377
/m/02r05c9,Kwagu'ł,http://www.wikidata.org/entity/Q3750920
/m/0464_s8,French Brazilian,http://www.wikidata.org/entity/Q3751098
/m/09rxf7z,History of the Genoese in Gibraltar,http://www.wikidata.org/entity/Q3760071
/m/03cdwcz,Gie Trieng people,http://www.wikidata.org/entity/Q3764024
/m/03k71n,Gangte people,http://www.wikidata.org/entity/Q56347
/m/03nrbk,Anlo Ewe people,http://www.wikidata.org/entity/Q56371
/m/06j8cl,Agaw people,http://www.wikidata.org/entity/Q56394
/m/0446z2,Mescalero,http://www.wikidata.org/entity/Q56585
/m/07flz_,Mangka'ak,http://www.wikidata.org/entity/Q12696818
/m/05fnzs,Karkarthar,http://www.wikidata.org/entity/Q12982459
/m/05pdk6h,Thuluva Vellalar,http://www.wikidata.org/entity/Q12984437
/m/09x046,Chandraseniya Kayastha Prabhu,http://www.wikidata.org/entity/Q13117118
/m/0k3h8lr,Kurds in Russia,http://www.wikidata.org/entity/Q13403569
/m/0b__slv,Santa Ysabel Reservation,http://www.wikidata.org/entity/Q13553810
/m/06w5d0_,European Australians,http://www.wikidata.org/entity/Q13580316
/m/02853cw,Noritani,http://www.wikidata.org/entity/Q13581588
/m/04mtt9,Meriam people,http://www.wikidata.org/entity/Q13648403
/m/0b__n4l,Lutici,http://www.wikidata.org/entity/Q14652273
/m/0f119g,Bisaya,http://www.wikidata.org/entity/Q866036
/m/06x_k6,Shors,http://www.wikidata.org/entity/Q874363
/m/01wx14,Palaung people,http://www.wikidata.org/entity/Q878275
/m/07llxy,Igala people,http://www.wikidata.org/entity/Q887672
/m/04ljtty,Aweer people,http://www.wikidata.org/entity/Q892470
/m/0266r1p,Chinese people in Japan,http://www.wikidata.org/entity/Q905498
/m/07s7c76,Peruvians in Japan,http://www.wikidata.org/entity/Q906918
/m/03sck9,Radimichs,http://www.wikidata.org/entity/Q918815
/m/03bzynv,Majang people,http://www.wikidata.org/entity/Q919224
/m/08w8t7,Oenotrians,http://www.wikidata.org/entity/Q922562
/m/02vpl_g,Koreans in Mexico,http://www.wikidata.org/entity/Q924646
/m/0150qf,Paeligni,http://www.wikidata.org/entity/Q941821
/m/09rlk5,Secoya people,http://www.wikidata.org/entity/Q2779134
/m/0f7ql,Amungme,http://www.wikidata.org/entity/Q2844528
/m/02hyd7,Anang people,http://www.wikidata.org/entity/Q2845328
/m/07226h,Cornish people,http://www.wikidata.org/entity/Q222175
/m/02g8fh,Ibibio people,http://www.wikidata.org/entity/Q239577
/m/04hlx1,Greek Cypriots,http://www.wikidata.org/entity/Q245794
/m/02r7txy,Banjara,http://www.wikidata.org/entity/Q252885
/m/0409qn,Baster,http://www.wikidata.org/entity/Q263176
/m/01jvvt,Aboriginal Tasmanians,http://www.wikidata.org/entity/Q265730
/m/0h52y_6,Betasii,http://www.wikidata.org/entity/Q1814142
/m/089_6x,Rendille people,http://www.wikidata.org/entity/Q1817409
/m/05q9mgf,Chinese people in Senegal,http://www.wikidata.org/entity/Q1864853
/m/0zn1h5w,Lomwe people,http://www.wikidata.org/entity/Q1868817
/m/0301t0,Minahasan people,http://www.wikidata.org/entity/Q1936223
/m/03zcwh,Ukrainian Canadians,http://www.wikidata.org/entity/Q1976298
/m/072l99,Occaneechi Band of the Saponi Nation,http://www.wikidata.org/entity/Q2013311
/m/05p6nd,Penan people,http://www.wikidata.org/entity/Q2035669
/m/01195fgs,Afro Caribbeans,http://www.wikidata.org/entity/Q2050339
/m/0j4w_,Croats,http://www.wikidata.org/entity/Q167420
/m/0ds2bhs,Turks in Berlin,http://www.wikidata.org/entity/Q2464473
/m/011939h4,Galician Jews,http://www.wikidata.org/entity/Q2467513
/m/0g9xxnd,Alat tribe,http://www.wikidata.org/entity/Q2474564
/m/07md8g,Itsekiri people,http://www.wikidata.org/entity/Q2477983
/m/099hvf,Caldoche,http://www.wikidata.org/entity/Q2478459
/m/02qgrp_,Upper Skagit tribe,http://www.wikidata.org/entity/Q2499791
/m/03cd0rz,Kryashens,http://www.wikidata.org/entity/Q2509263
/m/04m80w,Chinese people in Burma,http://www.wikidata.org/entity/Q2513044
/m/06sc5_,Thổ people,http://www.wikidata.org/entity/Q2518037
/m/05vf8p,Gunai,http://www.wikidata.org/entity/Q1793131
/m/03ctlcm,Lao Ga,http://www.wikidata.org/entity/Q1805686
/m/06dbt3,Sechelt people,http://www.wikidata.org/entity/Q1807392
/m/0bhsnb,Sri Lankan Tamils,http://www.wikidata.org/entity/Q1815623
/m/04h6ws,Mushki,http://www.wikidata.org/entity/Q1857902
/m/01__ld,Pomeranians,http://www.wikidata.org/entity/Q1937043
/m/0nfw2tt,Zemba,http://www.wikidata.org/entity/Q1964345
/m/0hn8qg5,Witoto people,http://www.wikidata.org/entity/Q1969828
/m/0w1d9_x,Moghols,http://www.wikidata.org/entity/Q14666445
/m/0nbtbvh,Pechanga Reservation,http://www.wikidata.org/entity/Q14683627
/m/0yxzhc4,Humaydah,http://www.wikidata.org/entity/Q15135449
/m/0w1frwb,Olots,http://www.wikidata.org/entity/Q15145787
/m/0z8b0kt,Kamein,http://www.wikidata.org/entity/Q15197214
/m/0w_03yy,Paskenta Band of Nomlaki Indians,http://www.wikidata.org/entity/Q15265605
/m/0v3bv26,Gaddang people,http://www.wikidata.org/entity/Q15623133
/m/05ms4r1,Madia Gond,http://www.wikidata.org/entity/Q15676059
/m/0100f1bv,Argentine Jews in Israel,http://www.wikidata.org/entity/Q15948519
/m/0d8qz7,Malaysian Americans,http://www.wikidata.org/entity/Q16056484
/m/0ryw1n_,Tamils in France,http://www.wikidata.org/entity/Q16056564
/m/0w1dr_c,Abaga Mongols,http://www.wikidata.org/entity/Q16057909
/m/0v38z78,Ivorians in France,http://www.wikidata.org/entity/Q16146968
/m/0vxgl50,White Dominican,http://www.wikidata.org/entity/Q16147805
/m/0z8wypt,Arabs in Serbia,http://www.wikidata.org/entity/Q16147840
/m/0w30gm_,Americans in Costa Rica,http://www.wikidata.org/entity/Q16148205
/m/0_lcrqj,Maltese Canadians,http://www.wikidata.org/entity/Q16148290
/m/0289lxg,Maltese American,http://www.wikidata.org/entity/Q16149883
/m/0w4v8xr,Māori American,http://www.wikidata.org/entity/Q16151047
/m/0w7psbf,Czech South Dakotans,http://www.wikidata.org/entity/Q16151225
/m/0x0sylq,Scandinavian Australian,http://www.wikidata.org/entity/Q16151228
/m/047bgmh,Syrian Brazilians,http://www.wikidata.org/entity/Q100155316
/m/019kn7,Japanese people,http://www.wikidata.org/entity/Q161652
/m/013y5z,Hui people,http://www.wikidata.org/entity/Q183573
/m/04v1d2,Võros,http://www.wikidata.org/entity/Q1341522
/m/03c9f55,Entiat tribe,http://www.wikidata.org/entity/Q1344906
/m/0117gpzv,Russians in China,http://www.wikidata.org/entity/Q1365234
/m/0bbzqly,Eyak people,http://www.wikidata.org/entity/Q1385649
/m/0dlp2q,Harti,http://www.wikidata.org/entity/Q3780875
/m/0fkx4q,Romanians in Italy,http://www.wikidata.org/entity/Q3796701
/m/02msb4,Yusufzai/ Yūsufī,http://www.wikidata.org/entity/Q3822975
/m/0gc2pb,Rungwa people,http://www.wikidata.org/entity/Q3847542
/m/0gdmlm,Lambya people,http://www.wikidata.org/entity/Q3847561
/m/05mkdn,Ajuran,http://www.wikidata.org/entity/Q3848143
/m/0406qk1,Birhor people,http://www.wikidata.org/entity/Q3890871
/m/0gb40w,Vidunda people,http://www.wikidata.org/entity/Q3892183
/m/0gdw86,Kabwa people,http://www.wikidata.org/entity/Q3892250
/m/0gd21s,Machinga people,http://www.wikidata.org/entity/Q3892595
/m/0g8_q3,Zyoba people,http://www.wikidata.org/entity/Q3892625
/m/0d26kg,Thuri people,http://www.wikidata.org/entity/Q3915328
/m/027k551,Mikea people,http://www.wikidata.org/entity/Q3917764
/m/0fq2pv9,Zafisoro,http://www.wikidata.org/entity/Q3917782
/m/07g0w9,Di,http://www.wikidata.org/entity/Q1194940
/m/01mw1s,Chinese Canadians,http://www.wikidata.org/entity/Q1207351
/m/08zf8r,Somali,http://www.wikidata.org/entity/Q1227367
/m/0654gv,Tiv people,http://www.wikidata.org/entity/Q1235705
/m/064kng8,Piréz people,http://www.wikidata.org/entity/Q1236714
/m/03c9xj_,Sahewamish tribe,http://www.wikidata.org/entity/Q1237880
/m/03lmx1,Scottish people,http://www.wikidata.org/entity/Q181634
/m/09c0cq,Tagalog people,http://www.wikidata.org/entity/Q1262011
/m/02m7cy,Mazatec people,http://www.wikidata.org/entity/Q1262708
/m/0gk_cz4,Firozkohi,http://www.wikidata.org/entity/Q1263585
/m/05zxp7l,Telefol people,http://www.wikidata.org/entity/Q7696151
/m/09rxgqp,Thaayorre people,http://www.wikidata.org/entity/Q7708820
/m/09jvfv,Thigala,http://www.wikidata.org/entity/Q7784119
/m/09gh2_j,Turks in Afghanistan,http://www.wikidata.org/entity/Q7855497
/m/07s3qrs,Turks in Bosnia and Herzegovina,http://www.wikidata.org/entity/Q7855500
/m/05f43_0,Turks in Egypt,http://www.wikidata.org/entity/Q7855503
/m/04yggfw,Turks in Italy,http://www.wikidata.org/entity/Q7855509
/m/0808fdg,Turks in Kyrgyzstan,http://www.wikidata.org/entity/Q7855515
/m/05c46jv,Turks in New Zealand,http://www.wikidata.org/entity/Q7855520
/m/09gkqzf,Turks in Montenegro,http://www.wikidata.org/entity/Q7855521
/m/03h5tf8,Turks in Sweden,http://www.wikidata.org/entity/Q7855530
/m/0gy1fvj,Twa,http://www.wikidata.org/entity/Q7857394
/m/0c008l5,Ugandan American,http://www.wikidata.org/entity/Q7877667
/m/05f3fcc,Ukrainians in Paraguay,http://www.wikidata.org/entity/Q7878566
/m/04166wd,Venezuelan Canadians,http://www.wikidata.org/entity/Q7919815
/m/052_5cy,Venezuelan of European descent,http://www.wikidata.org/entity/Q7919857
/m/07vwby,Wasserpolak,http://www.wikidata.org/entity/Q7972763
/m/06jj3f,Weantinock,http://www.wikidata.org/entity/Q7978040
/m/0dff8g,White people in Kenya,http://www.wikidata.org/entity/Q7995664
/m/025wllr,Yako people,http://www.wikidata.org/entity/Q8047240
/m/0j442y5,Zan people,http://www.wikidata.org/entity/Q8066000
/m/084r27,Zazi,http://www.wikidata.org/entity/Q8067620
/m/0g6f6q,Archi people,http://www.wikidata.org/entity/Q4320
/m/0dz1_,Aztec,http://www.wikidata.org/entity/Q12542
/m/0289912,Embu people,http://www.wikidata.org/entity/Q2749449
/m/04gl64_,Lari people,http://www.wikidata.org/entity/Q2749675
/m/01wsms,Coos people,http://www.wikidata.org/entity/Q2750650
/m/0152s7,Anglo-Irish people,http://www.wikidata.org/entity/Q2849692
/m/0fq2v5t,Antambahoaka,http://www.wikidata.org/entity/Q2852575
/m/0c5gh3,Aro people,http://www.wikidata.org/entity/Q2863480
/m/0btjv7,Buduma people,http://www.wikidata.org/entity/Q2921499
/m/0hgm33l,Budu people,http://www.wikidata.org/entity/Q2927589
/m/02cm28,English Canadians,http://www.wikidata.org/entity/Q2935829
/m/0fzj0,Evenks,http://www.wikidata.org/entity/Q191730
/m/0jt7v76,Palestinians,http://www.wikidata.org/entity/Q201190
/m/0h9bz,Baloch,http://www.wikidata.org/entity/Q201501
/m/0fq2b6m,Bezanozano,http://www.wikidata.org/entity/Q2334428
/m/0fc2cq,Banjar people,http://www.wikidata.org/entity/Q2350149
/m/0ddc5dz,Ait Atta,http://www.wikidata.org/entity/Q2364324
/m/0529yx,Sharchops,http://www.wikidata.org/entity/Q2364875
/m/094nnp,Macushi people,http://www.wikidata.org/entity/Q2520166
/m/027tvzh,Siberian Cossacks,http://www.wikidata.org/entity/Q2531742
/m/02x254f,Yawalapiti,http://www.wikidata.org/entity/Q2537324
/m/09ggntz,Ma'anyan people,http://www.wikidata.org/entity/Q2567621
/m/092rc_,Lusones,http://www.wikidata.org/entity/Q2579809
/m/09zt_n,Indian Indonesians,http://www.wikidata.org/entity/Q2607796
/m/0479lkm,Sakapultek people,http://www.wikidata.org/entity/Q2625682
/m/0fys5d,Kursenieki,http://www.wikidata.org/entity/Q2639939
/m/01tbkn,Mi'kmaq,http://www.wikidata.org/entity/Q495751
/m/02t_yy,Ket people,http://www.wikidata.org/entity/Q503083
/m/0bmcc1b,Croats of Hungary,http://www.wikidata.org/entity/Q510403
/m/02w886z,Kurds in Lebanon,http://www.wikidata.org/entity/Q3677896
/m/09h71d,Esan people,http://www.wikidata.org/entity/Q3732778
/m/0gf5k1,Italians in the United Kingdom,http://www.wikidata.org/entity/Q3804346
/m/0289978,Finnish Kale,http://www.wikidata.org/entity/Q3812650
/m/075jkb,Leelkase,http://www.wikidata.org/entity/Q3850934
/m/0gcy24,Turu people,http://www.wikidata.org/entity/Q3851414
/m/0gbk4n,Sagara people,http://www.wikidata.org/entity/Q3892540
/m/0gb3yf,Wanda people,http://www.wikidata.org/entity/Q3892555
/m/03_7kd,Bukusu tribe,http://www.wikidata.org/entity/Q3892648
/m/03f3sf,Romanian Americans,http://www.wikidata.org/entity/Q3916714
/m/03cbftz,Raglai people,http://www.wikidata.org/entity/Q3928451
/m/098gwk,Wagenya,http://www.wikidata.org/entity/Q4017651
/m/0gf3fb,Asa people,http://www.wikidata.org/entity/Q2866922
/m/0ffjcd,Basque American,http://www.wikidata.org/entity/Q2886395
/m/0fq1qy6,Ethiopian Jews in Israel,http://www.wikidata.org/entity/Q2893828
/m/05ztdc8,Ikelan,http://www.wikidata.org/entity/Q2894610
/m/080n88q,Belli,http://www.wikidata.org/entity/Q2894941
/m/02892zf,Bidjigal,http://www.wikidata.org/entity/Q2901739
/m/0h7qrwz,Babwa people,http://www.wikidata.org/entity/Q2907504
/m/04j3hz,Spanish Canadians,http://www.wikidata.org/entity/Q5030931
/m/03ck4r_,Cape Verdeans in Senegal,http://www.wikidata.org/entity/Q5035149
/m/064n9xl,Caribbean Australian,http://www.wikidata.org/entity/Q5039347
/m/02q5xzf,Catalan American,http://www.wikidata.org/entity/Q5051210
/m/07s6wrm,Celegeri,http://www.wikidata.org/entity/Q5057793
/m/0dhlgx,Cheam Indian Band,http://www.wikidata.org/entity/Q5088829
/m/0gl_vd,Chestnut Ridge people,http://www.wikidata.org/entity/Q5093988
/m/04glddc,periodo en que llegaron a chile,http://www.wikidata.org/entity/Q5100868
/m/047bp1r,Colombian Australian,http://www.wikidata.org/entity/Q5147919
/m/02fzf8,Yakuts,http://www.wikidata.org/entity/Q486316
/m/012xp6,Osci,http://www.wikidata.org/entity/Q487908
/m/0g59jp3,Coromantee,http://www.wikidata.org/entity/Q5172105
/m/0kbgsf4,Dalak people,http://www.wikidata.org/entity/Q5210186
/m/0j241q3,Darumbal,http://www.wikidata.org/entity/Q5225799
/m/08zxsk,Muslim Rajputs,http://www.wikidata.org/entity/Q5251131
/m/04153_q,Dimbago,http://www.wikidata.org/entity/Q5277174
/m/0cm9btg,Doodwala,http://www.wikidata.org/entity/Q5296999
/m/02vq913,East Asians in the United Kingdom,http://www.wikidata.org/entity/Q5327750
/m/0j459vs,Echuya Batwa,http://www.wikidata.org/entity/Q5332860
/m/077jyc,Egyptian Americans,http://www.wikidata.org/entity/Q5348373
/m/0wk06_4,Siyi,http://www.wikidata.org/entity/Q5366110
/m/0dl9xq,Elur Chetty,http://www.wikidata.org/entity/Q5367922
/m/0465583,English Brazilian,http://www.wikidata.org/entity/Q5378198
/m/012wh1gs,Welsh New Zealander,http://www.wikidata.org/entity/Q5410194
/m/06nht9,Finnish Canadians,http://www.wikidata.org/entity/Q5450761
/m/0g592jd,French people in Japan,http://www.wikidata.org/entity/Q5502325
/m/0288qqp,Friniates,http://www.wikidata.org/entity/Q5504610
/m/06mkb6,Gamanraige,http://www.wikidata.org/entity/Q5519578
/m/0b73ss2,Gauja Estonians,http://www.wikidata.org/entity/Q5527649
/m/0hr5q5k,Georgians in Lithuania,http://www.wikidata.org/entity/Q5548137
/m/0gx0lz8,Germans in Pakistan,http://www.wikidata.org/entity/Q5551991
/m/01swvz,Anglo-Celtic Australians,http://www.wikidata.org/entity/Q388101
/m/068d61,Chaoui people,http://www.wikidata.org/entity/Q402515
/m/0c3__h0,Akuapem,http://www.wikidata.org/entity/Q424366
/m/057btk,Layap,http://www.wikidata.org/entity/Q440410
/m/081s_9,Alyawarre,http://www.wikidata.org/entity/Q450252
/m/08blfl,Bosporus Germans,http://www.wikidata.org/entity/Q466624
/m/02s4r_,Mansi people,http://www.wikidata.org/entity/Q467790
/m/08s7sy,Tabom people,http://www.wikidata.org/entity/Q471671
/m/0513zr,Kelabit people,http://www.wikidata.org/entity/Q475951
/m/07cgqc,Murut people,http://www.wikidata.org/entity/Q476393
/m/0dngj1,Mangalorean Catholics,http://www.wikidata.org/entity/Q2942174
/m/04g2whq,Baraba Tatar,http://www.wikidata.org/entity/Q2977945
/m/0j7jns_,Akurio people,http://www.wikidata.org/entity/Q2979996
/m/06yvkj,Mono people,http://www.wikidata.org/entity/Q2983801
/m/098j9l,Bessarabian Bulgarians,http://www.wikidata.org/entity/Q2997993
/m/0j251_s,Arabs in France,http://www.wikidata.org/entity/Q3026372
/m/047pr2p,Turks in France,http://www.wikidata.org/entity/Q3026408
/m/0crg18g,Yahuskin,http://www.wikidata.org/entity/Q3046502
/m/064pj,Persians,http://www.wikidata.org/entity/Q484206
/m/01rnfr,Langi people,http://www.wikidata.org/entity/Q1273334
/m/08yh_0,Munduruku people,http://www.wikidata.org/entity/Q1273591
/m/06nhxt,Lovedu people,http://www.wikidata.org/entity/Q3633488
/m/0c6yjw,Kapu,http://www.wikidata.org/entity/Q3635472
/m/0969_t,Beeliar people,http://www.wikidata.org/entity/Q3657684
/m/0bgdfn,Cashibo people,http://www.wikidata.org/entity/Q3661759
/m/0808tqb,Jalali,http://www.wikidata.org/entity/Q3667001
/m/0gpdzl,Samanthan Nair,http://www.wikidata.org/entity/Q12068108
/m/0134xy0r,Spanish settlement in Jamaica,http://www.wikidata.org/entity/Q12155932
/m/011c7w04,Palestinians in Syria,http://www.wikidata.org/entity/Q12231011
/m/02phfn,Fon people,http://www.wikidata.org/entity/Q12257903
/m/0d1kk7,Sinyar people,http://www.wikidata.org/entity/Q12355175
/m/04ydrsn,Israeli Americans,http://www.wikidata.org/entity/Q12404065
/m/07k77pj,Pasi,http://www.wikidata.org/entity/Q12437856
/m/0w1fbhl,Sogwo Arig,http://www.wikidata.org/entity/Q12642386
/m/09snp5,Muhajir,http://www.wikidata.org/entity/Q12644212
/m/05csb1,Gaetuli,http://www.wikidata.org/entity/Q26404
/m/06_17c,Guarani-Kaiowá,http://www.wikidata.org/entity/Q32017
/m/01wx1z,Yugur people,http://www.wikidata.org/entity/Q34283
/m/0ffk5n,Latvian American,http://www.wikidata.org/entity/Q4356656
/m/0br_flf,Poles in Kazakhstan,http://www.wikidata.org/entity/Q4371336
/m/0272gf4,Poumai Naga,http://www.wikidata.org/entity/Q4375032
/m/0bms44,Louisiana Creole people,http://www.wikidata.org/entity/Q4386404
/m/0118tm01,Russians in Argentina,http://www.wikidata.org/entity/Q4400576
/m/0g4pffv,Russian Canadians,http://www.wikidata.org/entity/Q4400590
/m/03x_lpj,Sudanese Arabs,http://www.wikidata.org/entity/Q4445351
/m/0bxzmld,Uzbeks in Pakistan,http://www.wikidata.org/entity/Q4469695
/m/013s3n,Czechs,http://www.wikidata.org/entity/Q170217
/m/01rv7x,Tamil,http://www.wikidata.org/entity/Q173491
/m/0drw_7_,Kayeli people,http://www.wikidata.org/entity/Q4207441
/m/0_qcwyz,Kazakhs in China,http://www.wikidata.org/entity/Q4208066
/m/041189l,Kunda people,http://www.wikidata.org/entity/Q4247147
/m/0b6hm3h,Liangmai Naga,http://www.wikidata.org/entity/Q4260768
/m/0bsxs_,Melanau people,http://www.wikidata.org/entity/Q4262343
/m/043ljvj,Lotha Naga,http://www.wikidata.org/entity/Q4267416
/m/0cz7_k_,Sauria Paharia people,http://www.wikidata.org/entity/Q4277705
/m/0ds2f_2,Mao Naga,http://www.wikidata.org/entity/Q4280985
/m/03b_13l,Swedish Australian,http://www.wikidata.org/entity/Q4302645
/m/08hpk0,Hungarian Americans,http://www.wikidata.org/entity/Q948126
/m/074wq1,Yagua people,http://www.wikidata.org/entity/Q948636
/m/09rjtx,Gadabuursi,http://www.wikidata.org/entity/Q957703
/m/047fz04,Finnish Brazilian,http://www.wikidata.org/entity/Q959116
/m/02m848,Molise Croats,http://www.wikidata.org/entity/Q960850
/m/03gq8k1,Apurinã people,http://www.wikidata.org/entity/Q963221
/m/0407cmd,Zia people,http://www.wikidata.org/entity/Q8071304
/m/0h53c75,Zimbabwean American,http://www.wikidata.org/entity/Q8072050
/m/0117vszz,Zimbabweans in the United Kingdom,http://www.wikidata.org/entity/Q8072101
/m/09g8hhn,Austrian Argentine,http://www.wikidata.org/entity/Q9008545
/m/02rbdq5,Japanese Canadians,http://www.wikidata.org/entity/Q10312754
/m/0csvmj,Moru people,http://www.wikidata.org/entity/Q10589456
/m/0bt1v7,Bunak,http://www.wikidata.org/entity/Q11036845
/m/0119mj4t,Somalis in Finland,http://www.wikidata.org/entity/Q376684
/m/04d3xq,Oropom people,http://www.wikidata.org/entity/Q383738
